Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 30.7024)	(2, 31.8768)	(3, 32.1197)	(4, 32.1108)	(5, 32.5024)	(6, 35.9842)	(7, 36.2429)	(8, 36.4365)	(9, 36.5453)	(10, 36.558)	(11, 36.5729)	(12, 36.5694)	(13, 36.5743)	(14, 36.5642)	(15, 36.5592)	(16, 36.5586)	(17, 36.5577)	(18, 36.5516)	(19, 36.5574)	(20, 36.555)	(21, 36.5504)	(22, 36.5513)	(23, 36.5476)	(24, 36.5469)	(25, 36.5465)	(26, 36.5413)	(27, 36.5433)	(28, 36.5431)	(29, 36.5406)	(30, 36.5368)	(31, 36.5354)	(32, 36.5366)	(33, 36.5339)	(34, 36.5299)	(35, 36.4925)	(36, 36.5136)	(37, 36.5164)	(38, 36.514)	(39, 36.5057)	(40, 36.4949)	(41, 36.4992)	(42, 36.4951)	(43, 36.4868)	(44, 36.4492)	(45, 36.4642)	(46, 36.4677)	(47, 36.4548)	(48, 36.4568)	(49, 36.4443)	(50, 36.4406)	(51, 36.4318)	(52, 36.4164)	(53, 36.3676)	(54, 36.3688)	(55, 36.3839)	(56, 36.3872)	(57, 36.3767)	(58, 36.3649)	(59, 36.3546)	(60, 36.3462)	(61, 36.3125)	(62, 36.2486)	(63, 36.2854)	(64, 36.2851)	(65, 36.2617)	(66, 36.2445)	(67, 36.2654)	(68, 36.2805)	(69, 36.2903)	(70, 36.2911)	(71, 36.2904)	(72, 36.2788)	(73, 36.2769)	(74, 36.2615)	(75, 36.2134)	(76, 36.1895)	(77, 36.1542)	(78, 36.1931)	(79, 36.2164)	(80, 36.187)	(81, 36.2286)	(82, 36.2467)	(83, 36.2492)	(84, 36.2409)	(85, 36.2202)	(86, 36.225)	(87, 36.2253)	(88, 36.2169)	(89, 36.1977)	(90, 36.1633)	(91, 36.1661)	(92, 36.173)	(93, 36.173)	(94, 36.1451)	(95, 36.1522)	(96, 36.1486)	(97, 36.154)	(98, 36.1431)	(99, 36.1801)	(100, 36.3182)	(101, 35.7413)
SRR5936197	(1, 26.6092)	(2, 30.8229)	(3, 31.0629)	(4, 32.0151)	(5, 31.9891)	(6, 35.6807)	(7, 35.8864)	(8, 36.2546)	(9, 36.3146)	(10, 36.3531)	(11, 36.3689)	(12, 36.361)	(13, 36.3679)	(14, 36.3612)	(15, 36.3707)	(16, 36.3647)	(17, 36.3623)	(18, 36.3565)	(19, 36.353)	(20, 36.3586)	(21, 36.3523)	(22, 36.3432)	(23, 36.3363)	(24, 36.3316)	(25, 36.3262)	(26, 36.3196)	(27, 36.3164)	(28, 36.3109)	(29, 36.3105)	(30, 36.3009)	(31, 36.2925)	(32, 36.289)	(33, 36.2819)	(34, 36.2794)	(35, 36.2769)	(36, 36.2364)	(37, 36.256)	(38, 36.2418)	(39, 36.2349)	(40, 36.2276)	(41, 36.2222)	(42, 36.2095)	(43, 36.1998)	(44, 36.1984)	(45, 36.1925)	(46, 36.1869)	(47, 36.1779)	(48, 36.16)	(49, 36.1462)	(50, 36.1368)	(51, 36.1322)	(52, 36.1293)	(53, 36.1043)	(54, 36.1025)	(55, 36.0835)	(56, 36.0777)	(57, 36.077)	(58, 36.0645)	(59, 36.0549)	(60, 36.0504)	(61, 36.0415)	(62, 36.0327)	(63, 36.0357)	(64, 36.0241)	(65, 36.0031)	(66, 35.9577)	(67, 35.9603)	(68, 35.9567)	(69, 35.9506)	(70, 35.9487)	(71, 35.9407)	(72, 35.936)	(73, 35.9317)	(74, 35.9305)	(75, 35.9291)	(76, 35.9059)	(77, 35.8853)	(78, 35.8785)	(79, 35.8852)	(80, 35.8851)	(81, 35.879)	(82, 35.86)	(83, 35.8447)	(84, 35.828)	(85, 35.8105)	(86, 35.7914)	(87, 35.7801)	(88, 35.7704)	(89, 35.7472)	(90, 35.7413)	(91, 35.7332)	(92, 35.7153)	(93, 35.7023)	(94, 35.676)	(95, 35.6724)	(96, 35.6672)	(97, 35.6755)	(98, 35.7084)	(99, 35.7776)	(100, 36.0262)	(101, 35.0505)
SRR5936221	(1, 29.1227)	(2, 31.8018)	(3, 32.1865)	(4, 32.4753)	(5, 32.6214)	(6, 36.0494)	(7, 36.3345)	(8, 36.4036)	(9, 36.5394)	(10, 36.5634)	(11, 36.5368)	(12, 36.5432)	(13, 36.5599)	(14, 36.548)	(15, 36.5181)	(16, 36.5307)	(17, 36.5245)	(18, 36.5226)	(19, 36.5444)	(20, 36.536)	(21, 36.5364)	(22, 36.5481)	(23, 36.5386)	(24, 36.5369)	(25, 36.5407)	(26, 36.5362)	(27, 36.5347)	(28, 36.5396)	(29, 36.5349)	(30, 36.5294)	(31, 36.5296)	(32, 36.5317)	(33, 36.5286)	(34, 36.5249)	(35, 36.4879)	(36, 36.5089)	(37, 36.5121)	(38, 36.5086)	(39, 36.5051)	(40, 36.4899)	(41, 36.4927)	(42, 36.4924)	(43, 36.4865)	(44, 36.4494)	(45, 36.4631)	(46, 36.4665)	(47, 36.4516)	(48, 36.4539)	(49, 36.4416)	(50, 36.4359)	(51, 36.4248)	(52, 36.4093)	(53, 36.3615)	(54, 36.363)	(55, 36.3782)	(56, 36.3837)	(57, 36.3714)	(58, 36.361)	(59, 36.3506)	(60, 36.3412)	(61, 36.3079)	(62, 36.2412)	(63, 36.2797)	(64, 36.2784)	(65, 36.2544)	(66, 36.2383)	(67, 36.2615)	(68, 36.2769)	(69, 36.2858)	(70, 36.2871)	(71, 36.2871)	(72, 36.2744)	(73, 36.2731)	(74, 36.2551)	(75, 36.2096)	(76, 36.186)	(77, 36.1502)	(78, 36.1911)	(79, 36.2135)	(80, 36.1835)	(81, 36.2261)	(82, 36.2428)	(83, 36.2454)	(84, 36.2372)	(85, 36.2158)	(86, 36.2218)	(87, 36.2195)	(88, 36.2127)	(89, 36.1922)	(90, 36.1599)	(91, 36.163)	(92, 36.1693)	(93, 36.1688)	(94, 36.141)	(95, 36.1461)	(96, 36.1412)	(97, 36.1482)	(98, 36.1373)	(99, 36.1752)	(100, 36.3161)	(101, 35.741)
SRR5946623	(1, 34.1757)	(2, 34.3128)	(3, 34.3152)	(4, 34.3702)	(5, 34.3759)	(6, 38.5944)	(7, 38.7306)	(8, 38.8411)	(9, 38.9632)	(10, 38.9691)	(11, 38.9703)	(12, 38.9839)	(13, 38.9891)	(14, 38.9819)	(15, 38.9919)	(16, 38.9782)	(17, 38.9962)	(18, 38.9837)	(19, 38.9975)	(20, 38.9918)	(21, 38.9814)	(22, 38.9616)	(23, 38.973)	(24, 38.9617)	(25, 38.9713)	(26, 38.9826)	(27, 38.9898)	(28, 38.9842)	(29, 39.025)	(30, 38.977)	(31, 39.0156)	(32, 38.9985)	(33, 39.0168)	(34, 39.0472)	(35, 39.0598)	(36, 39.0507)	(37, 39.0413)	(38, 39.0481)	(39, 39.0574)	(40, 39.0637)	(41, 39.0675)	(42, 39.0579)	(43, 39.0532)	(44, 39.0598)	(45, 39.0608)	(46, 39.0594)	(47, 39.0409)	(48, 39.0251)	(49, 39.0218)	(50, 39.0109)	(51, 39.009)	(52, 39.0165)	(53, 39.0129)	(54, 39.0013)	(55, 38.9978)	(56, 38.9921)	(57, 38.9894)	(58, 38.9698)	(59, 38.9916)	(60, 38.9862)	(61, 38.9972)	(62, 38.9738)	(63, 38.9663)	(64, 38.9638)	(65, 38.9648)	(66, 38.9756)	(67, 38.968)	(68, 38.9568)	(69, 38.9583)	(70, 38.9531)	(71, 38.9465)	(72, 38.9396)	(73, 38.931)	(74, 38.9338)	(75, 38.9385)	(76, 38.9413)	(77, 38.9313)	(78, 38.9315)	(79, 38.9131)	(80, 38.9102)	(81, 38.9001)	(82, 38.9123)	(83, 38.8994)	(84, 38.8684)	(85, 38.876)	(86, 38.8709)	(87, 38.8797)	(88, 38.8737)	(89, 38.878)	(90, 38.8716)	(91, 38.863)	(92, 38.857)	(93, 38.8535)	(94, 38.8471)	(95, 38.8259)	(96, 38.8239)	(97, 38.8262)	(98, 38.797)	(99, 38.8118)	(100, 38.8361)	(101, 38.2116)
SRR5946691	(1, 30.6459)	(2, 31.1356)	(3, 31.8022)	(4, 32.2432)	(5, 32.5388)	(6, 36.1645)	(7, 36.3276)	(8, 36.4582)	(9, 36.5035)	(10, 36.5127)	(11, 36.4984)	(12, 36.5552)	(13, 36.5593)	(14, 36.5605)	(15, 36.5485)	(16, 36.5359)	(17, 36.504)	(18, 36.5121)	(19, 36.4923)	(20, 36.5067)	(21, 36.475)	(22, 36.4807)	(23, 36.485)	(24, 36.4874)	(25, 36.4865)	(26, 36.4806)	(27, 36.4755)	(28, 36.4718)	(29, 36.4889)	(30, 36.4804)	(31, 36.4722)	(32, 36.4753)	(33, 36.4551)	(34, 36.4484)	(35, 36.4422)	(36, 36.4506)	(37, 36.4527)	(38, 36.4424)	(39, 36.4352)	(40, 36.4397)	(41, 36.4278)	(42, 36.4256)	(43, 36.4119)	(44, 36.404)	(45, 36.3849)	(46, 36.376)	(47, 36.3701)	(48, 36.3769)	(49, 36.3451)	(50, 36.34)	(51, 36.3197)	(52, 36.3323)	(53, 36.3162)	(54, 36.3147)	(55, 36.3227)	(56, 36.2956)	(57, 36.3073)	(58, 36.3135)	(59, 36.3015)	(60, 36.2737)	(61, 36.2825)	(62, 36.2818)	(63, 36.2649)	(64, 36.2571)	(65, 36.2616)	(66, 36.2601)	(67, 36.2521)	(68, 36.2437)	(69, 36.2515)	(70, 36.2508)	(71, 36.2408)	(72, 36.2301)	(73, 36.2295)	(74, 36.2237)	(75, 36.218)	(76, 36.2018)	(77, 36.2181)	(78, 36.2163)	(79, 36.2006)	(80, 36.1841)	(81, 36.1586)	(82, 36.145)	(83, 36.1441)	(84, 36.1316)	(85, 36.1182)	(86, 36.1144)	(87, 36.1192)	(88, 36.1267)	(89, 36.113)	(90, 36.0958)	(91, 36.0758)	(92, 36.0646)	(93, 36.0513)	(94, 36.0385)	(95, 36.0305)	(96, 36.0087)	(97, 36.0403)	(98, 36.0586)	(99, 36.0952)	(100, 36.238)	(101, 35.8069)
SRR5946876	(1, 26.8479)	(2, 31.0931)	(3, 31.8701)	(4, 32.2306)	(5, 32.5096)	(6, 35.6497)	(7, 36.044)	(8, 36.1713)	(9, 36.3252)	(10, 36.354)	(11, 36.3797)	(12, 36.3752)	(13, 36.412)	(14, 36.4153)	(15, 36.3899)	(16, 36.3803)	(17, 36.3818)	(18, 36.371)	(19, 36.359)	(20, 36.3581)	(21, 36.3588)	(22, 36.3562)	(23, 36.3598)	(24, 36.3243)	(25, 36.3402)	(26, 36.3332)	(27, 36.3352)	(28, 36.3418)	(29, 36.3319)	(30, 36.3393)	(31, 36.3143)	(32, 36.325)	(33, 36.319)	(34, 36.3078)	(35, 36.3023)	(36, 36.3133)	(37, 36.3104)	(38, 36.3069)	(39, 36.2838)	(40, 36.2904)	(41, 36.2865)	(42, 36.2718)	(43, 36.2709)	(44, 36.2597)	(45, 36.2574)	(46, 36.2342)	(47, 36.2357)	(48, 36.2274)	(49, 36.1999)	(50, 36.1993)	(51, 36.207)	(52, 36.2063)	(53, 36.1659)	(54, 36.1655)	(55, 36.1715)	(56, 36.161)	(57, 36.1458)	(58, 36.1282)	(59, 36.1174)	(60, 36.1231)	(61, 36.1388)	(62, 36.1423)	(63, 36.1189)	(64, 36.1145)	(65, 36.1)	(66, 36.1029)	(67, 36.1077)	(68, 36.051)	(69, 36.0932)	(70, 36.0829)	(71, 36.0977)	(72, 36.0628)	(73, 36.064)	(74, 36.0692)	(75, 36.0606)	(76, 36.0168)	(77, 36.0202)	(78, 36.042)	(79, 36.0319)	(80, 36.023)	(81, 36.0163)	(82, 36.021)	(83, 36.0179)	(84, 36.0118)	(85, 35.988)	(86, 35.9671)	(87, 35.9718)	(88, 35.9695)	(89, 35.9545)	(90, 35.9397)	(91, 35.9404)	(92, 35.9362)	(93, 35.9126)	(94, 35.8904)	(95, 35.8848)	(96, 35.8794)	(97, 35.8897)	(98, 35.9015)	(99, 35.946)	(100, 36.1298)	(101, 35.5175)
SRR5946902	(1, 31.5143)	(2, 31.5421)	(3, 31.6428)	(4, 32.1116)	(5, 32.4402)	(6, 35.8874)	(7, 36.0181)	(8, 36.0715)	(9, 36.2829)	(10, 36.3008)	(11, 36.2492)	(12, 36.3294)	(13, 36.3553)	(14, 36.3314)	(15, 36.2855)	(16, 36.3023)	(17, 36.2863)	(18, 36.2857)	(19, 36.3008)	(20, 36.2958)	(21, 36.3079)	(22, 36.3104)	(23, 36.288)	(24, 36.2868)	(25, 36.283)	(26, 36.2808)	(27, 36.2728)	(28, 36.2723)	(29, 36.2629)	(30, 36.2611)	(31, 36.2522)	(32, 36.256)	(33, 36.2438)	(34, 36.243)	(35, 36.2422)	(36, 36.2022)	(37, 36.2229)	(38, 36.2077)	(39, 36.21)	(40, 36.1949)	(41, 36.1899)	(42, 36.19)	(43, 36.1811)	(44, 36.1814)	(45, 36.175)	(46, 36.1659)	(47, 36.1567)	(48, 36.1382)	(49, 36.12)	(50, 36.112)	(51, 36.1071)	(52, 36.1007)	(53, 36.0777)	(54, 36.077)	(55, 36.0584)	(56, 36.0505)	(57, 36.0503)	(58, 36.0371)	(59, 36.0305)	(60, 36.0251)	(61, 36.0151)	(62, 36.0061)	(63, 36.0109)	(64, 35.9995)	(65, 35.9787)	(66, 35.931)	(67, 35.9364)	(68, 35.9325)	(69, 35.9244)	(70, 35.9256)	(71, 35.9166)	(72, 35.9105)	(73, 35.9082)	(74, 35.9077)	(75, 35.9067)	(76, 35.8835)	(77, 35.8633)	(78, 35.8576)	(79, 35.8635)	(80, 35.8634)	(81, 35.8582)	(82, 35.8411)	(83, 35.8254)	(84, 35.8094)	(85, 35.7926)	(86, 35.7727)	(87, 35.7624)	(88, 35.7534)	(89, 35.7288)	(90, 35.7225)	(91, 35.7153)	(92, 35.6989)	(93, 35.6856)	(94, 35.6614)	(95, 35.6589)	(96, 35.6551)	(97, 35.6645)	(98, 35.6951)	(99, 35.7685)	(100, 36.0183)	(101, 35.03)
SRR5946910	(1, 29.7968)	(2, 30.7193)	(3, 31.5452)	(4, 32.1032)	(5, 32.4564)	(6, 36.0178)	(7, 36.2425)	(8, 36.3666)	(9, 36.4239)	(10, 36.4394)	(11, 36.4047)	(12, 36.4836)	(13, 36.4839)	(14, 36.4897)	(15, 36.4701)	(16, 36.4587)	(17, 36.4235)	(18, 36.4317)	(19, 36.4103)	(20, 36.4217)	(21, 36.3883)	(22, 36.3936)	(23, 36.3938)	(24, 36.3965)	(25, 36.398)	(26, 36.3878)	(27, 36.3841)	(28, 36.3789)	(29, 36.3978)	(30, 36.3861)	(31, 36.3774)	(32, 36.3782)	(33, 36.3591)	(34, 36.3509)	(35, 36.3475)	(36, 36.3544)	(37, 36.3578)	(38, 36.3441)	(39, 36.3371)	(40, 36.3419)	(41, 36.328)	(42, 36.326)	(43, 36.3126)	(44, 36.3012)	(45, 36.2812)	(46, 36.2742)	(47, 36.2663)	(48, 36.2735)	(49, 36.2371)	(50, 36.2307)	(51, 36.2084)	(52, 36.2205)	(53, 36.2034)	(54, 36.201)	(55, 36.2078)	(56, 36.1783)	(57, 36.189)	(58, 36.1969)	(59, 36.1833)	(60, 36.1547)	(61, 36.1629)	(62, 36.1628)	(63, 36.1453)	(64, 36.1369)	(65, 36.1395)	(66, 36.1398)	(67, 36.1283)	(68, 36.121)	(69, 36.1301)	(70, 36.1295)	(71, 36.1173)	(72, 36.1074)	(73, 36.1069)	(74, 36.0989)	(75, 36.0934)	(76, 36.0751)	(77, 36.0928)	(78, 36.0926)	(79, 36.0749)	(80, 36.0581)	(81, 36.0282)	(82, 36.0142)	(83, 36.0134)	(84, 36.0004)	(85, 35.987)	(86, 35.9836)	(87, 35.9861)	(88, 35.993)	(89, 35.9807)	(90, 35.9634)	(91, 35.9401)	(92, 35.9294)	(93, 35.9139)	(94, 35.9002)	(95, 35.8938)	(96, 35.8753)	(97, 35.9084)	(98, 35.9287)	(99, 35.974)	(100, 36.1389)	(101, 35.7231)
SRR5946975	(1, 34.2474)	(2, 34.3599)	(3, 34.3696)	(4, 34.4301)	(5, 34.4392)	(6, 38.683)	(7, 38.8357)	(8, 38.9697)	(9, 39.0765)	(10, 39.0805)	(11, 39.0757)	(12, 39.0864)	(13, 39.091)	(14, 39.0875)	(15, 39.0976)	(16, 39.0858)	(17, 39.0995)	(18, 39.0894)	(19, 39.1005)	(20, 39.0935)	(21, 39.0817)	(22, 39.0641)	(23, 39.0741)	(24, 39.0646)	(25, 39.0728)	(26, 39.0835)	(27, 39.0901)	(28, 39.0832)	(29, 39.1238)	(30, 39.0765)	(31, 39.1141)	(32, 39.0977)	(33, 39.1182)	(34, 39.1452)	(35, 39.1581)	(36, 39.1486)	(37, 39.1393)	(38, 39.1457)	(39, 39.1541)	(40, 39.1604)	(41, 39.1631)	(42, 39.155)	(43, 39.1495)	(44, 39.1557)	(45, 39.1581)	(46, 39.1558)	(47, 39.1395)	(48, 39.1254)	(49, 39.1224)	(50, 39.1126)	(51, 39.1106)	(52, 39.1171)	(53, 39.1124)	(54, 39.1019)	(55, 39.0985)	(56, 39.093)	(57, 39.089)	(58, 39.0698)	(59, 39.0897)	(60, 39.0838)	(61, 39.0945)	(62, 39.07)	(63, 39.0621)	(64, 39.0609)	(65, 39.0615)	(66, 39.0718)	(67, 39.0641)	(68, 39.052)	(69, 39.0541)	(70, 39.0499)	(71, 39.0428)	(72, 39.0357)	(73, 39.0258)	(74, 39.0292)	(75, 39.032)	(76, 39.0368)	(77, 39.0277)	(78, 39.0271)	(79, 39.0083)	(80, 39.0048)	(81, 38.9939)	(82, 39.0053)	(83, 38.9902)	(84, 38.961)	(85, 38.9683)	(86, 38.9631)	(87, 38.9725)	(88, 38.966)	(89, 38.9701)	(90, 38.9635)	(91, 38.9554)	(92, 38.9491)	(93, 38.9449)	(94, 38.937)	(95, 38.9181)	(96, 38.921)	(97, 38.9216)	(98, 38.8918)	(99, 38.9064)	(100, 38.9248)	(101, 38.2681)
SRR5946993	(1, 28.8161)	(2, 29.6868)	(3, 31.0361)	(4, 31.5878)	(5, 32.1187)	(6, 35.6525)	(7, 35.7997)	(8, 36.3022)	(9, 36.4118)	(10, 36.4306)	(11, 36.4536)	(12, 36.4692)	(13, 36.4828)	(14, 36.4898)	(15, 36.4745)	(16, 36.4533)	(17, 36.4253)	(18, 36.4383)	(19, 36.4086)	(20, 36.43)	(21, 36.4008)	(22, 36.4022)	(23, 36.4123)	(24, 36.4131)	(25, 36.416)	(26, 36.4071)	(27, 36.4045)	(28, 36.399)	(29, 36.4179)	(30, 36.408)	(31, 36.4018)	(32, 36.4)	(33, 36.3792)	(34, 36.3706)	(35, 36.3666)	(36, 36.3751)	(37, 36.3756)	(38, 36.3618)	(39, 36.3519)	(40, 36.3605)	(41, 36.3465)	(42, 36.3385)	(43, 36.325)	(44, 36.3127)	(45, 36.2932)	(46, 36.2868)	(47, 36.2798)	(48, 36.2897)	(49, 36.256)	(50, 36.2456)	(51, 36.2243)	(52, 36.2412)	(53, 36.2209)	(54, 36.2209)	(55, 36.2277)	(56, 36.196)	(57, 36.2085)	(58, 36.2186)	(59, 36.202)	(60, 36.1714)	(61, 36.1806)	(62, 36.1756)	(63, 36.1577)	(64, 36.152)	(65, 36.1514)	(66, 36.1516)	(67, 36.1411)	(68, 36.1292)	(69, 36.1411)	(70, 36.1418)	(71, 36.1278)	(72, 36.1168)	(73, 36.1162)	(74, 36.1047)	(75, 36.0995)	(76, 36.0831)	(77, 36.0968)	(78, 36.096)	(79, 36.0821)	(80, 36.062)	(81, 36.0302)	(82, 36.0171)	(83, 36.0153)	(84, 36.0)	(85, 35.9852)	(86, 35.9795)	(87, 35.9851)	(88, 35.9957)	(89, 35.9779)	(90, 35.9602)	(91, 35.9389)	(92, 35.9252)	(93, 35.9088)	(94, 35.8993)	(95, 35.8883)	(96, 35.8671)	(97, 35.9036)	(98, 35.9197)	(99, 35.9648)	(100, 36.1305)	(101, 35.644)
